transaction_date,total_canceled_ahead_days,total_bookings,total_booked_ahead_days,cancelation_rate,seven_day_rolling_avg
2020-05-18,4313,3506,60724,0.05618938961779806,0.05685691558901788
2020-05-19,4687,4180,73929,0.06483253588516746,0.05241016956653373
2020-05-20,5945,4529,50768,0.07374696400971517,0.052693802498687346
2020-05-21,2008,5443,51114,0.06522138526547859,0.05044700388400984
2020-05-22,6785,6688,46529,0.08642344497607655,0.05331622505608993
2020-05-23,2175,7414,39657,0.055165902346911246,0.05538740144594507
2020-05-24,1647,6537,38882,0.06409668043445005,0.060762670579853316
2020-05-25,7881,4736,46531,0.1102195945945946,0.07198698714127397
2020-05-26,5280,4921,64077,0.07356228408859988,0.0741585989501242
2020-05-27,3765,5863,65688,0.07419409858434249,0.07532879428752107
2020-05-28,7048,6209,71962,0.06957642132388468,0.07480747645179227
2020-05-29,2550,7007,61295,0.06793206793206794,0.07514631178511592
2020-05-30,727,8144,47863,0.05108055009823183,0.07072844992538534
2020-05-31,1742,6506,51846,0.04933907162619121,0.07000009608529534
2020-06-01,5484,5937,67760,0.07815394980629947,0.07175725475677651
2020-06-02,5385,6484,76127,0.07078963602714373,0.06682850993584516
2020-06-03,4776,6690,82011,0.07443946188340807,0.06693815716019617
2020-06-04,5027,7094,73171,0.061178460670989566,0.06531120242102706
2020-06-05,3416,8265,81784,0.06073805202661827,0.06420640625886877
2020-06-06,2862,8706,73266,0.06639099471628762,0.06401377210689622
2020-06-07,2464,7184,74275,0.053452115812917596,0.06431021782123195
2020-06-08,7360,8320,104976,0.06634615384615385,0.06643610309872727
2020-06-09,6086,8311,97168,0.05883768499578872,0.06402156999741343
2020-06-10,1343,8855,88887,0.06132128740824393,0.06283802642005096
2020-06-11,3220,9573,95677,0.05902016086911104,0.060910613793263825
2020-06-12,3471,10575,89308,0.0583451536643026,0.06055645041742795
2020-06-13,4322,11015,80506,0.054108034498411256,0.05972769822640207
2020-06-14,2356,9492,88331,0.05130636325326591,0.05784211929352436
2020-06-15,5101,9588,117131,0.06320400500625782,0.05906110544269189
2020-06-16,4364,9959,106061,0.06014660106436389,0.05828616134496815
2020-06-17,5434,10557,115657,0.06014966373022639,0.058450158686772856
2020-06-18,6048,10922,103055,0.06116095953122139,0.05843011770214504
2020-06-19,4183,12170,106429,0.061216105176663926,0.05870461074058915
2020-06-20,612,13224,102788,0.05096793708408953,0.05778245866806252
2020-06-21,2188,11599,118485,0.04690059487886887,0.05688152871561972
2020-06-22,8794,10658,111639,0.06276975042221805,0.05831445211173873
2020-06-23,4624,11060,98665,0.06754068716094032,0.05885653738107405
2020-06-24,18797,11795,88556,0.08266214497668503,0.06167098037011419
2020-06-25,5872,11843,81130,0.071181288524867,0.06304993346944426
2020-06-26,5021,12542,81828,0.08611066815499921,0.0661686470474165
2020-06-27,2189,12922,60388,0.06624361553939019,0.06679708584275727
2020-06-28,2283,10599,54616,0.06236437399754694,0.06822164045693946
2020-06-29,8209,11182,85912,0.07825076015024146,0.07214041111586103
2020-06-30,-1189,11884,78802,0.07825647929989903,0.07407625222557115
2020-07-01,2532,11937,66242,0.07338527268157828,0.0748068254156509
2020-07-02,4084,13191,71376,0.08255628837843984,0.07479359334087024
2020-07-03,2222,14298,60936,0.0673520772135963,0.0743149419269614
2020-07-04,1539,11702,43582,0.06383524183900188,0.07153051363746174
2020-07-05,1801,10464,47706,0.06154434250764526,0.07094310450849363
2020-07-06,3826,11092,75455,0.07365668950595024,0.07235464394704404
2020-07-07,2768,11837,83165,0.07493452732955985,0.07194011484445884
2020-07-08,1423,12249,76631,0.06016817699404033,0.0696790770562265
2020-07-09,4019,12220,74413,0.06317512274959083,0.06840280831472807
2020-07-10,3104,13538,75432,0.0640419559757719,0.06608851676439458
2020-07-11,1091,14405,59202,0.05324540090246442,0.0643251822255031
2020-07-12,1761,12744,56516,0.052573760200878845,0.0629174970207377
2020-07-13,2503,12144,74944,0.059782608695652176,0.06269728029423857
2020-07-14,5360,12374,81009,0.061419104574107,0.061167582177758174
2020-07-15,3063,12539,73973,0.06411994576920009,0.0598157594827132
2020-07-16,3634,12920,68738,0.06834365325077399,0.060837694014804905
2020-07-17,4228,15221,77761,0.05801195716444386,0.060192298316661536
2020-07-18,2491,15123,62163,0.06083449051114197,0.0597913651335828
2020-07-19,2716,12784,58845,0.053035043804755946,0.059765070496369234
2020-07-20,5602,12343,74670,0.06546220529854979,0.0613761261335781
2020-07-21,3507,12875,81326,0.06042718446601942,0.06145669810487401
2020-07-22,-2229,12539,79339,0.07440784751575086,0.06308029097257949
2020-07-23,5326,12496,69086,0.0815460947503201,0.06525855959521949
2020-07-24,1062,14689,64777,0.07202668663625843,0.06571893876840505
2020-07-25,2493,15235,56180,0.05461109287824089,0.06529383073262968
2020-07-26,1501,13042,64277,0.04976230639472474,0.06390980771807753
2020-07-27,4263,13004,78972,0.06067363888034451,0.06486463210252609
2020-07-28,3539,13213,71340,0.06607129342314387,0.06494076811810034
2020-07-29,4153,13049,75059,0.0669016782895241,0.06575007984603844
2020-07-30,2048,13272,71753,0.06185955394816154,0.06418154315008977
2020-07-31,1148,14786,75041,0.06222101988367375,0.06176590879175898
2020-08-01,1244,14776,62537,0.06172171088251218,0.0604777868225407
2020-08-02,1326,11453,56861,0.06400069850694141,0.061651487526128264
2020-08-03,3810,12591,86241,0.058057342546263206,0.06268836704507057
2020-08-04,3693,12441,80876,0.05554215899043485,0.06204693205883186
2020-08-05,3578,12938,79547,0.05565002318750966,0.06074427327937759
2020-08-06,1211,13517,76281,0.06199600503070208,0.06013106412202483
2020-08-07,2570,14690,66779,0.06473791695030633,0.06049085949729294
2020-08-08,1359,16346,63627,0.046066315918267466,0.05847152150161715
2020-08-09,779,13622,60417,0.0528556746439583,0.057363266971797916
2020-08-10,1930,12073,76037,0.06502112151080924,0.05749081984728139
2020-08-11,1255,12835,72784,0.0559407869107908,0.057226250392847344
2020-08-12,1553,12739,70460,0.05824633016720308,0.05756427178994337
2020-08-13,1043,13119,77965,0.06364814391340803,0.05856403688068067
2020-08-14,579,15311,72840,0.05349095421592319,0.05750090552883331
2020-08-15,1021,15492,59708,0.05635166537567777,0.056452624082004736
2020-08-16,916,12543,62582,0.05373515108028382,0.05741122847725678
2020-08-17,-2946,11504,72360,0.05867524339360222,0.05813867457096227
2020-08-18,1796,12136,85765,0.053394858272907054,0.056685391666224494
2020-08-19,1176,12330,126082,0.06423357664233577,0.05772199038266762
2020-08-20,1743,12029,83516,0.07407099509518664,0.05970007349866556
2020-08-21,671,14065,75226,0.06967650195520796,0.060453618253890555
2020-08-22,599,14521,66600,0.06018869223882653,0.06129083550675347
2020-08-23,1987,11763,64696,0.05279265493496557,0.06084595920166445
2020-08-24,2087,9763,76878,0.06514391068319164,0.062272054152027925
2020-08-25,2778,9920,73898,0.061995967741935484,0.06268714469556957
2020-08-26,2632,10667,88225,0.06290428424111746,0.06387582294159588
2020-08-27,4382,11208,80216,0.0690578158458244,0.06447885284203196
2020-08-28,2363,12537,65387,0.06117891042514158,0.06286734225827632
2020-08-29,-290,14171,59589,0.06767341754286924,0.06261695670673399
2020-08-30,2169,11890,61009,0.05820016820857864,0.062368391202953004
2020-08-31,2259,9634,75073,0.06944156113763754,0.064449504478287
2020-09-01,4227,10439,79629,0.062266500622665005,0.06408982822072117
2020-09-02,1448,11412,80020,0.061952330879775676,0.06408437361295119
2020-09-03,1499,12550,80359,0.05904382470119522,0.06360181617046091
2020-09-04,574,14764,70518,0.0562855594689786,0.06200528412335519
2020-09-05,879,16833,60063,0.04889205726846076,0.060469427478770085
2020-09-06,-2408,13083,48646,0.07460062676756096,0.06133532863185655
2020-09-07,1,10453,56137,0.08102936955897828,0.06418897880065651
2020-09-08,938,7558,75686,0.08163535326806033,0.06571320281695936
2020-09-09,-475,7627,78509,0.0858791136751016,0.06866477944851393
2020-09-10,1091,8677,113155,0.08470669586262533,0.07150907507137014
2020-09-11,921,10472,105573,0.08317417876241405,0.0745253693290225
2020-09-12,1341,10815,54977,0.1018955154877485,0.08022661383136873
2020-09-13,29,7980,48703,0.0780701754385965,0.08387387860263569
